Client count: 5, node version: 0.8.1, server version: 2.4.2, parser: faster
         PING,     1/5 min/max/avg/p95:    0/   4/   0.05/   1.00   1127ms total, 17746.23 ops/sec
         PING,    50/5 min/max/avg/p95:    0/   5/   0.82/   2.00    327ms total, 61162.08 ops/sec
         PING,   200/5 min/max/avg/p95:    0/   7/   3.03/   5.00    304ms total, 65789.47 ops/sec
         PING, 20000/5 min/max/avg/p95:   28/ 256/ 144.51/ 231.00    265ms total, 75471.70 ops/sec
SET small str,     1/5 min/max/avg/p95:    0/   3/   0.06/   1.00   1180ms total, 16949.15 ops/sec
SET small str,    50/5 min/max/avg/p95:    0/   3/   0.91/   2.00    366ms total, 54644.81 ops/sec
SET small str,   200/5 min/max/avg/p95:    0/  10/   3.48/   6.00    350ms total, 57142.86 ops/sec
SET small str, 20000/5 min/max/avg/p95:   30/ 278/ 153.89/ 253.55    285ms total, 70175.44 ops/sec
SET small buf,     1/5 min/max/avg/p95:    0/   3/   0.09/   1.00   1838ms total, 10881.39 ops/sec
SET small buf,    50/5 min/max/avg/p95:    0/   9/   2.86/   5.00   1147ms total, 17436.79 ops/sec
SET small buf,   200/5 min/max/avg/p95:    1/  24/  11.29/  18.00   1134ms total, 17636.68 ops/sec
SET small buf, 20000/5 min/max/avg/p95:  114/1170/ 665.26/1115.55   1175ms total, 17021.28 ops/sec
GET small str,     1/5 min/max/avg/p95:    0/   1/   0.06/   1.00   1183ms total, 16906.17 ops/sec
GET small str,    50/5 min/max/avg/p95:    0/   3/   0.96/   2.00    385ms total, 51948.05 ops/sec
GET small str,   200/5 min/max/avg/p95:    0/   7/   3.61/   6.00    363ms total, 55096.42 ops/sec
GET small str, 20000/5 min/max/avg/p95:   34/ 288/ 162.52/ 265.00    296ms total, 67567.57 ops/sec
GET small buf,     1/5 min/max/avg/p95:    0/   1/   0.06/   1.00   1195ms total, 16736.40 ops/sec
GET small buf,    50/5 min/max/avg/p95:    0/   4/   1.18/   2.00    473ms total, 42283.30 ops/sec
GET small buf,   200/5 min/max/avg/p95:    0/  11/   3.78/   6.00    380ms total, 52631.58 ops/sec
GET small buf, 20000/5 min/max/avg/p95:   32/ 271/ 151.82/ 241.55    279ms total, 71684.59 ops/sec
SET large str,     1/5 min/max/avg/p95:    0/   4/   0.07/   1.00   1560ms total, 12820.51 ops/sec
SET large str,    50/5 min/max/avg/p95:    0/   3/   0.99/   2.00    398ms total, 50251.26 ops/sec
SET large str,   200/5 min/max/avg/p95:    1/  11/   3.70/   6.00    373ms total, 53619.30 ops/sec
SET large str, 20000/5 min/max/avg/p95:  145/ 279/ 204.35/ 266.00    468ms total, 42735.04 ops/sec
SET large buf,     1/5 min/max/avg/p95:    0/   4/   0.09/   1.00   1919ms total, 10422.09 ops/sec
SET large buf,    50/5 min/max/avg/p95:    0/   9/   2.91/   5.00   1167ms total, 17137.96 ops/sec
